307.0      130.0      3504.      12.0    18.0
350.0      165.0      3693.      11.5    15.0
318.0      150.0      3436.      11.0    18.0
304.0      150.0      3433.      12.0    16.0
302.0      140.0      3449.      10.5    17.0
429.0      198.0      4341.      10.0    15.0
454.0      220.0      4354.       9.0    14.0
440.0      215.0      4312.       8.5    14.0
455.0      225.0      4425.      10.0    14.0
390.0      190.0      3850.       8.5    15.0
383.0      170.0      3563.      10.0    15.0
340.0      160.0      3609.       8.0    14.0
400.0      150.0      3761.       9.5    15.0
455.0      225.0      3086.      10.0    14.0
113.0      95.00      2372.      15.0    24.0
198.0      95.00      2833.      15.5    22.0
199.0      97.00      2774.      15.5    18.0
200.0      85.00      2587.      16.0    21.0
97.00      88.00      2130.      14.5    27.0
97.00      46.00      1835.      20.5    26.0
110.0      87.00      2672.      17.5    25.0
107.0      90.00      2430.      14.5    24.0
104.0      95.00      2375.      17.5    25.0
121.0      113.0      2234.      12.5    26.0
199.0      90.00      2648.      15.0    21.0
360.0      215.0      4615.      14.0    10.0
307.0      200.0      4376.      15.0    10.0
318.0      210.0      4382.      13.5    11.0
304.0      193.0      4732.      18.5    9.0 
97.00      88.00      2130.      14.5    27.0
140.0      90.00      2264.      15.5    28.0
113.0      95.00      2228.      14.0    25.0
232.0      100.0      2634.      13.0    19.0
225.0      105.0      3439.      15.5    16.0
250.0      100.0      3329.      15.5    17.0
250.0      88.00      3302.      15.5    19.0
232.0      100.0      3288.      15.5    18.0
350.0      165.0      4209.      12.0    14.0
400.0      175.0      4464.      11.5    14.0
351.0      153.0      4154.      13.5    14.0
318.0      150.0      4096.      13.0    14.0
383.0      180.0      4955.      11.5    12.0
400.0      170.0      4746.      12.0    13.0
400.0      175.0      5140.      12.0    13.0
258.0      110.0      2962.      13.5    18.0
140.0      72.00      2408.      19.0    22.0
250.0      100.0      3282.      15.0    19.0
250.0      88.00      3139.      14.5    18.0
122.0      86.00      2220.      14.0    23.0
116.0      90.00      2123.      14.0    28.0
79.00      70.00      2074.      19.5    30.0
88.00      76.00      2065.      14.5    30.0
71.00      65.00      1773.      19.0    31.0
72.00      69.00      1613.      18.0    35.0
97.00      60.00      1834.      19.0    27.0
91.00      70.00      1955.      20.5    26.0
113.0      95.00      2278.      15.5    24.0
97.50      80.00      2126.      17.0    25.0
97.00      54.00      2254.      23.5    23.0
140.0      90.00      2408.      19.5    20.0
122.0      86.00      2226.      16.5    21.0
350.0      165.0      4274.      12.0    13.0
400.0      175.0      4385.      12.0    14.0
318.0      150.0      4135.      13.5    15.0
351.0      153.0      4129.      13.0    14.0
304.0      150.0      3672.      11.5    17.0
429.0      208.0      4633.      11.0    11.0
350.0      155.0      4502.      13.5    13.0
350.0      160.0      4456.      13.5    12.0
400.0      190.0      4422.      12.5    13.0
70.00      97.00      2330.      13.5    19.0
304.0      150.0      3892.      12.5    15.0
307.0      130.0      4098.      14.0    13.0
302.0      140.0      4294.      16.0    13.0
318.0      150.0      4077.      14.0    14.0
121.0      112.0      2933.      14.5    18.0
121.0      76.00      2511.      18.0    22.0
120.0      87.00      2979.      19.5    21.0
96.00      69.00      2189.      18.0    26.0
122.0      86.00      2395.      16.0    22.0
97.00      92.00      2288.      17.0    28.0
120.0      97.00      2506.      14.5    23.0
98.00      80.00      2164.      15.0    28.0
97.00      88.00      2100.      16.5    27.0
350.0      175.0      4100.      13.0    13.0
304.0      150.0      3672.      11.5    14.0
350.0      145.0      3988.      13.0    13.0
302.0      137.0      4042.      14.5    14.0
318.0      150.0      3777.      12.5    15.0
429.0      198.0      4952.      11.5    12.0
400.0      150.0      4464.      12.0    13.0
351.0      158.0      4363.      13.0    13.0
318.0      150.0      4237.      14.5    14.0
440.0      215.0      4735.      11.0    13.0
